ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
1.0,0.16,36.0,1.0,36.16,6.013318551349163
2.0,0.16,36.0,1.0,18.16,4.261455150532504
3.0,0.16,36.0,1.0,12.16,3.4871191548325386
4.0,0.16,36.0,1.0,9.16,3.026549190084311
5.0,0.16,36.0,1.0,7.36,2.7129319932501073
6.0,0.16,36.0,1.0,6.16,2.4819347291981715
7.0,0.16,36.0,1.0,5.302857142857143,2.3027933348125584
8.0,0.16,36.0,1.0,4.66,2.1587033144922905
9.0,0.16,36.0,1.0,4.16,2.039607805437114
10.0,0.16,36.0,1.0,3.7600000000000002,1.9390719429665317
11.0,0.16,36.0,1.0,3.432727272727273,1.8527620658701087
12.0,0.16,36.0,1.0,3.16,1.7776388834631178
13.0,0.16,36.0,1.0,2.9292307692307693,1.7114995674059545
14.0,0.16,36.0,1.0,2.7314285714285718,1.6527034130262368
15.0,0.16,36.0,1.0,2.56,1.6
16.0,0.16,36.0,1.0,2.41,1.5524174696260025
17.0,0.16,36.0,1.0,2.2776470588235296,1.5091875492540778
18.0,0.16,36.0,1.0,2.16,1.469693845669907
19.0,0.16,36.0,1.0,2.054736842105263,1.4334353288883537
20.0,0.16,36.0,1.0,1.96,1.4
21.0,0.16,36.0,1.0,1.874285714285714,1.3690455486526787
22.0,0.16,36.0,1.0,1.7963636363636364,1.3402849086532447
23.0,0.16,36.0,1.0,1.7252173913043478,1.3134753105042927
24.0,0.16,36.0,1.0,1.66,1.2884098726725126
25.0,0.16,36.0,1.0,1.5999999999999999,1.2649110640673518
26.0,0.16,36.0,1.0,1.5446153846153845,1.2428255648381974
27.0,0.16,36.0,1.0,1.4933333333333332,1.2220201853215573
28.0,0.16,36.0,1.0,1.4457142857142857,1.2023785950000465
29.0,0.16,36.0,1.0,1.4013793103448275,1.1837986781310526
30.0,0.16,36.0,1.0,1.3599999999999999,1.16619037896906
31.0,0.16,36.0,1.0,1.3212903225806452,1.1494739329713595
32.0,0.16,36.0,1.0,1.285,1.1335784048754634
33.0,0.16,36.0,1.0,1.2509090909090907,1.1184404726712507
34.0,0.16,36.0,1.0,1.2188235294117646,1.1040034100544096
35.0,0.16,36.0,1.0,1.1885714285714284,1.090216230190795
36.0,0.16,36.0,1.0,1.16,1.0770329614269007
37.0,0.16,36.0,1.0,1.132972972972973,1.0644120315803336
38.0,0.16,36.0,1.0,1.1073684210526316,1.0523157420910474
39.0,0.16,36.0,1.0,1.083076923076923,1.0407098169407853
40.0,0.16,36.0,1.0,1.06,1.0295630140987
41.0,0.16,36.0,1.0,1.038048780487805,1.0188467895065503
42.0,0.16,36.0,1.0,1.0171428571428571,1.008535005412731
43.0,0.16,36.0,1.0,0.9972093023255815,0.9986036763028572
44.0,0.16,36.0,1.0,0.9781818181818183,0.9890307468333925
45.0,0.16,36.0,1.0,0.9600000000000001,0.9797958971132713
46.0,0.16,36.0,1.0,0.942608695652174,0.9708803714424213
47.0,0.16,36.0,1.0,0.9259574468085107,0.9622668272410261
48.0,0.16,36.0,1.0,0.91,0.9539392014169457
49.0,0.16,36.0,1.0,0.8946938775510205,0.9458825918426771
50.0,0.16,36.0,1.0,0.88,0.938083151964686
51.0,0.16,36.0,1.0,0.8658823529411765,0.9305279968604795
52.0,0.16,36.0,1.0,0.8523076923076923,0.9232051193032307
53.0,0.16,36.0,1.0,0.8392452830188679,0.9161033145987781
54.0,0.16,36.0,1.0,0.8266666666666667,0.9092121131323904
55.0,0.16,36.0,1.0,0.8145454545454546,0.902521719708426
56.0,0.16,36.0,1.0,0.8028571428571429,0.896022958889527
57.0,0.16,36.0,1.0,0.791578947368421,0.8897072256469659
58.0,0.16,36.0,1.0,0.7806896551724138,0.8835664407232847
59.0,0.16,36.0,1.0,0.7701694915254238,0.877593010184917
60.0,0.16,36.0,1.0,0.76,0.8717797887081347
61.0,0.16,36.0,1.0,0.7501639344262295,0.8661200461981177
62.0,0.16,36.0,1.0,0.7406451612903227,0.8606074373896164
63.0,0.16,36.0,1.0,0.7314285714285714,0.855235974119758
64.0,0.16,36.0,1.0,0.7225,0.85
65.0,0.16,36.0,1.0,0.7138461538461539,0.8448941672459066
66.0,0.16,36.0,1.0,0.7054545454545454,0.8399134154509889
67.0,0.16,36.0,1.0,0.6973134328358209,0.8350529521149068
68.0,0.16,36.0,1.0,0.6894117647058824,0.8303082347573595
69.0,0.16,36.0,1.0,0.6817391304347826,0.825674954467424
70.0,0.16,36.0,1.0,0.6742857142857143,0.8211490207542808
71.0,0.16,36.0,1.0,0.6670422535211268,0.8167265475794985
72.0,0.16,36.0,1.0,0.66,0.812403840463596
73.0,0.16,36.0,1.0,0.6531506849315069,0.8081773845706812
74.0,0.16,36.0,1.0,0.6464864864864865,0.8040438336847603
75.0,0.16,36.0,1.0,0.64,0.8
76.0,0.16,36.0,1.0,0.6336842105263157,0.7960428446549317
77.0,0.16,36.0,1.0,0.6275324675324675,0.792169468947439
78.0,0.16,36.0,1.0,0.6215384615384616,0.7883771061734743
79.0,0.16,36.0,1.0,0.6156962025316456,0.7846631140378943
80.0,0.16,36.0,1.0,0.61,0.7810249675906654
81.0,0.16,36.0,1.0,0.6044444444444445,0.77746025264604
82.0,0.16,36.0,1.0,0.5990243902439024,0.7739666596462036
83.0,0.16,36.0,1.0,0.5937349397590361,0.7705419779343862
84.0,0.16,36.0,1.0,0.5885714285714285,0.7671840904055743
85.0,0.16,36.0,1.0,0.5835294117647059,0.7638909685057848
86.0,0.16,36.0,1.0,0.5786046511627907,0.7606606675534043
87.0,0.16,36.0,1.0,0.5737931034482758,0.7574913223583989
88.0,0.16,36.0,1.0,0.5690909090909091,0.7543811431172635
89.0,0.16,36.0,1.0,0.5644943820224719,0.75132841156346
90.0,0.16,36.0,1.0,0.56,0.7483314773547883
91.0,0.16,36.0,1.0,0.5556043956043956,0.745388754680667
92.0,0.16,36.0,1.0,0.551304347826087,0.7424987190737011
93.0,0.16,36.0,1.0,0.5470967741935484,0.7396599044111749
94.0,0.16,36.0,1.0,0.5429787234042553,0.7368709000932628
95.0,0.16,36.0,1.0,0.5389473684210526,0.7341303483857976
96.0,0.16,36.0,1.0,0.535,0.7314369419163897
97.0,0.16,36.0,1.0,0.5311340206185567,0.7287894213135622
98.0,0.16,36.0,1.0,0.5273469387755102,0.726186572979362
99.0,0.16,36.0,1.0,0.5236363636363637,0.7236272269866327
100.0,0.16,36.0,1.0,0.52,0.7211102550927979
