n_scan,static_ESS_mg,flowing_ESS_mg,static_sampling_variance_mg_g_sq,static_instrument_variance_mg_g_sq,static_total_variance_mg_g_sq,static_total_sd_mg_g,flowing_sampling_variance_mg_g_sq,flowing_instrument_variance_mg_g_sq,flowing_total_variance_mg_g_sq,flowing_total_sd_mg_g
1,25.0,25.0,1.44,4.09,5.529999999999999,2.351595203260969,1.44,4.09,5.529999999999999,2.351595203260969
2,25.0,50.0,1.44,2.09,3.53,1.8788294228055935,0.72,2.09,2.8099999999999996,1.676305461424021
3,25.0,75.0,1.44,1.4233333333333333,2.8633333333333333,1.6921386861996073,0.48,1.4233333333333333,1.9033333333333333,1.379613472438325
4,25.0,100.0,1.44,1.09,2.5300000000000002,1.5905973720586868,0.36,1.09,1.4500000000000002,1.2041594578792296
5,25.0,125.0,1.44,0.89,2.33,1.5264337522473748,0.288,0.89,1.178,1.0853570840972109
6,25.0,150.0,1.44,0.7566666666666666,2.1966666666666663,1.4821156050277138,0.24,0.7566666666666666,0.9966666666666666,0.9983319421247958
7,25.0,175.0,1.44,0.6614285714285714,2.1014285714285714,1.4496304947911973,0.2057142857142857,0.6614285714285714,0.8671428571428571,0.9312050564418436
8,25.0,200.0,1.44,0.59,2.03,1.4247806848775006,0.18,0.59,0.77,0.8774964387392122
9,25.0,225.0,1.44,0.5344444444444444,1.9744444444444444,1.4051492605571996,0.16,0.5344444444444444,0.6944444444444444,0.8333333333333334
10,25.0,250.0,1.44,0.49,1.93,1.3892443989449805,0.144,0.49,0.634,0.7962411694957753
11,25.0,275.0,1.44,0.4536363636363636,1.8936363636363636,1.3760946056272307,0.13090909090909092,0.4536363636363636,0.5845454545454545,0.76455572363658
12,25.0,300.0,1.44,0.42333333333333334,1.8633333333333333,1.3650396819628847,0.12,0.42333333333333334,0.5433333333333333,0.7371114795831993
13,25.0,325.0,1.44,0.3976923076923077,1.8376923076923077,1.3556151030776795,0.11076923076923077,0.3976923076923077,0.5084615384615384,0.7130648907789097
14,25.0,350.0,1.44,0.37571428571428567,1.8157142857142856,1.3474844287465015,0.10285714285714286,0.37571428571428567,0.47857142857142854,0.6917885721601857
15,25.0,375.0,1.44,0.3566666666666667,1.7966666666666666,1.3403979508588733,0.096,0.3566666666666667,0.45266666666666666,0.6728050733062784
16,25.0,400.0,1.44,0.33999999999999997,1.7799999999999998,1.3341664064126333,0.09,0.33999999999999997,0.42999999999999994,0.6557438524302001
17,25.0,425.0,1.44,0.32529411764705884,1.7652941176470587,1.3286437135842921,0.08470588235294117,0.32529411764705884,0.41000000000000003,0.6403124237432849
18,25.0,450.0,1.44,0.3122222222222222,1.7522222222222221,1.3237153101109853,0.08,0.3122222222222222,0.3922222222222222,0.6262764742685312
19,25.0,475.0,1.44,0.30052631578947364,1.7405263157894737,1.3192900802285574,0.07578947368421053,0.30052631578947364,0.37631578947368416,0.613445832550588
20,25.0,500.0,1.44,0.29000000000000004,1.73,1.3152946437965904,0.072,0.29000000000000004,0.36200000000000004,0.6016643582596529
21,25.0,525.0,1.44,0.28047619047619043,1.7204761904761905,1.3116692382137314,0.06857142857142857,0.28047619047619043,0.349047619047619,0.5908025211926732
22,25.0,550.0,1.44,0.27181818181818185,1.711818181818182,1.3083646975588197,0.06545454545454546,0.27181818181818185,0.3372727272727273,0.5807518637703432
23,25.0,575.0,1.44,0.26391304347826083,1.7039130434782608,1.3053402021995113,0.06260869565217392,0.26391304347826083,0.32652173913043475,0.571420807400671
24,25.0,600.0,1.44,0.25666666666666665,1.6966666666666665,1.3025615788386615,0.06,0.25666666666666665,0.31666666666666665,0.5627314338711378
25,25.0,625.0,1.44,0.25,1.69,1.3,0.0576,0.25,0.3076,0.5546169849544819
26,25.0,650.0,1.44,0.24384615384615385,1.6838461538461538,1.2976309775302661,0.055384615384615386,0.24384615384615385,0.29923076923076924,0.5470198983864931
27,25.0,675.0,1.44,0.23814814814814814,1.6781481481481482,1.2954335753515687,0.05333333333333334,0.23814814814814814,0.29148148148148145,0.5398902494780596
28,25.0,700.0,1.44,0.23285714285714285,1.6728571428571428,1.2933897876731295,0.05142857142857143,0.23285714285714285,0.28428571428571425,0.5331845030434721
29,25.0,725.0,1.44,0.22793103448275862,1.6679310344827585,1.29148404344876,0.0496551724137931,0.22793103448275862,0.2775862068965517,0.5268645052540091
30,25.0,750.0,1.44,0.22333333333333333,1.6633333333333333,1.2897028081435402,0.048,0.22333333333333333,0.2713333333333333,0.5208966628164682
31,25.0,775.0,1.44,0.21903225806451612,1.659032258064516,1.2880342612153282,0.04645161290322581,0.21903225806451612,0.26548387096774195,0.5152512697390875
32,25.0,800.0,1.44,0.215,1.655,1.2864680330268607,0.045,0.215,0.26,0.5099019513592785
