setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,1.0,1.0,3.84,7.5398223686155025e-06,0.0075398223686155025,7.539822368615503,7.539822368615503
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,2.0,0.5,1.92,3.7699111843077512e-06,0.0037699111843077513,3.7699111843077513,3.7699111843077513
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,2.513274122871834e-06,0.002513274122871834,2.513274122871834,2.513274122871834
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,4.0,0.25,0.96,1.8849555921538756e-06,0.0018849555921538756,1.8849555921538756,1.8849555921538756
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,5.0,0.2,0.768,1.5079644737231006e-06,0.0015079644737231006,1.5079644737231006,1.5079644737231006
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,256,15.0,3.84,3.84,1.0,1.0,3.84,1.8849555921538758e-05,0.01884955592153876,18.84955592153876,18.84955592153876
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,256,15.0,3.84,3.84,2.0,0.5,1.92,9.424777960769379e-06,0.00942477796076938,9.42477796076938,9.42477796076938
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,6.283185307179587e-06,0.006283185307179587,6.283185307179586,6.283185307179586
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,256,15.0,3.84,3.84,4.0,0.25,0.96,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,4.71238898038469
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,256,15.0,3.84,3.84,5.0,0.2,0.768,3.7699111843077517e-06,0.0037699111843077517,3.7699111843077517,3.7699111843077517
B,1.0,0.001,0.1,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104,256,15.0,3.84,3.84,1.0,1.0,3.84,3.7699111843077517e-05,0.03769911184307752,37.69911184307752,37.69911184307752
B,1.0,0.001,0.1,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104,256,15.0,3.84,3.84,2.0,0.5,1.92,1.8849555921538758e-05,0.01884955592153876,18.84955592153876,18.84955592153876
B,1.0,0.001,0.1,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,1.2566370614359173e-05,0.012566370614359173,12.566370614359172,12.566370614359172
B,1.0,0.001,0.1,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104,256,15.0,3.84,3.84,4.0,0.25,0.96,9.424777960769379e-06,0.00942477796076938,9.42477796076938,9.42477796076938
B,1.0,0.001,0.1,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104,256,15.0,3.84,3.84,5.0,0.2,0.768,7.539822368615503e-06,0.007539822368615503,7.5398223686155035,7.5398223686155035
B,2.0,0.002,0.2,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.9269908169872415e-08,39.269908169872416,0.039269908169872414,1.9634954084936207e-05,0.019634954084936207,19.634954084936208,256,15.0,3.84,3.84,1.0,1.0,3.84,7.539822368615503e-05,0.07539822368615504,75.39822368615503,75.39822368615503
B,2.0,0.002,0.2,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.9269908169872415e-08,39.269908169872416,0.039269908169872414,1.9634954084936207e-05,0.019634954084936207,19.634954084936208,256,15.0,3.84,3.84,2.0,0.5,1.92,3.7699111843077517e-05,0.03769911184307752,37.69911184307752,37.69911184307752
