setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,500,10.0,5.0,5.0,1.0,1.0,5.0,3.926990816987241e-06,0.003926990816987241,3.926990816987241,3.926990816987241
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,500,10.0,5.0,5.0,2.0,0.5,2.5,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,1.9634954084936205
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,1.3089969389957471e-06,0.0013089969389957472,1.3089969389957472,1.3089969389957472
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,500,10.0,5.0,5.0,4.0,0.25,1.25,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,0.9817477042468102
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,500,10.0,5.0,5.0,5.0,0.2,1.0,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,0.7853981633974482
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,500,10.0,5.0,5.0,1.0,1.0,5.0,4.908738521234052e-06,0.004908738521234052,4.908738521234052,4.908738521234052
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,500,10.0,5.0,5.0,2.0,0.5,2.5,2.454369260617026e-06,0.002454369260617026,2.454369260617026,2.454369260617026
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,1.6362461737446838e-06,0.0016362461737446838,1.6362461737446838,1.6362461737446838
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,500,10.0,5.0,5.0,4.0,0.25,1.25,1.227184630308513e-06,0.001227184630308513,1.227184630308513,1.227184630308513
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,500,10.0,5.0,5.0,5.0,0.2,1.0,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,0.9817477042468102
B,0.1,0.0001,0.01,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,500,10.0,5.0,5.0,1.0,1.0,5.0,5.890486225480862e-06,0.005890486225480863,5.8904862254808625,5.8904862254808625
