quantity,value,units
angular speed,3.4033920413889422,rad/s
probe x,1.5588457268119897,cm
probe y,0.8999999999999999,cm
probe area,0.19634954084936207,cm^2
sampled volume per refresh,0.019634954084936207,cm^3
sampled mass per refresh,7.853981633974484,mg
tangential velocity,6.126105674500097,cm/s
crossing time,0.0816179195343053,s
blocked time,0.522354685019554,s
effective acquisition time,1.277645314980446,s
estimated refresh count,15.653980428200347,-
effective sampled mass estimate,122.94607478168155,mg
