throughput_kg_h,density_g_cm3,pipe_diameter_mm,pipe_tilt_deg_from_vertical,penetration_depth_mm,probe_diameter_mm,acquisition_time_s,throughput_g_s,pipe_area_cm2,superficial_velocity_cm_s,optical_mass_per_refresh_mg,crossing_time_s,n_refresh,effective_sample_mass_estimate_mg,passed_volume_cm3,passed_mass_mg
40,0.4,65.0,26.5,0.5,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,3.926990816987242,0.5972953032637595,3.0135847212666573,11.83431952662722,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.0,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,7.853981633974484,0.5972953032637595,3.0135847212666573,23.66863905325444,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,2.0,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,15.707963267948967,0.5972953032637595,3.0135847212666573,47.33727810650888,0.2958579881656805,118.3431952662722
70,0.4,65.0,26.5,0.5,5.0,1.8,19.444444444444443,33.18307240354219,1.4649370172824028,3.926990816987242,0.3413116018650054,5.2737732622166495,20.71005917159763,0.5177514792899408,207.10059171597632
70,0.4,65.0,26.5,1.0,5.0,1.8,19.444444444444443,33.18307240354219,1.4649370172824028,7.853981633974484,0.3413116018650054,5.2737732622166495,41.42011834319526,0.5177514792899408,207.10059171597632
70,0.4,65.0,26.5,2.0,5.0,1.8,19.444444444444443,33.18307240354219,1.4649370172824028,15.707963267948967,0.3413116018650054,5.2737732622166495,82.84023668639053,0.5177514792899408,207.10059171597632
100,0.4,65.0,26.5,0.5,5.0,1.8,27.77777777777778,33.18307240354219,2.09276716754629,3.926990816987242,0.23891812130550374,7.533961803166644,29.58579881656805,0.7396449704142013,295.8579881656805
100,0.4,65.0,26.5,1.0,5.0,1.8,27.77777777777778,33.18307240354219,2.09276716754629,7.853981633974484,0.23891812130550374,7.533961803166644,59.1715976331361,0.7396449704142013,295.8579881656805
100,0.4,65.0,26.5,2.0,5.0,1.8,27.77777777777778,33.18307240354219,2.09276716754629,15.707963267948967,0.23891812130550374,7.533961803166644,118.3431952662722,0.7396449704142013,295.8579881656805
40,0.5,65.0,26.5,0.5,5.0,1.8,11.11111111111111,33.18307240354219,0.6696854936148127,4.908738521234052,0.7466191290796994,2.4108677770133253,11.834319526627217,0.23668639053254437,118.34319526627219
40,0.5,65.0,26.5,1.0,5.0,1.8,11.11111111111111,33.18307240354219,0.6696854936148127,9.817477042468104,0.7466191290796994,2.4108677770133253,23.668639053254434,0.23668639053254437,118.34319526627219
40,0.5,65.0,26.5,2.0,5.0,1.8,11.11111111111111,33.18307240354219,0.6696854936148127,19.634954084936208,0.7466191290796994,2.4108677770133253,47.33727810650887,0.23668639053254437,118.34319526627219
70,0.5,65.0,26.5,0.5,5.0,1.8,19.444444444444443,33.18307240354219,1.1719496138259222,4.908738521234052,0.42663950233125675,4.21901860977332,20.71005917159763,0.4142011834319526,207.1005917159763
70,0.5,65.0,26.5,1.0,5.0,1.8,19.444444444444443,33.18307240354219,1.1719496138259222,9.817477042468104,0.42663950233125675,4.21901860977332,41.42011834319526,0.4142011834319526,207.1005917159763
70,0.5,65.0,26.5,2.0,5.0,1.8,19.444444444444443,33.18307240354219,1.1719496138259222,19.634954084936208,0.42663950233125675,4.21901860977332,82.84023668639053,0.4142011834319526,207.1005917159763
100,0.5,65.0,26.5,0.5,5.0,1.8,27.77777777777778,33.18307240354219,1.6742137340370318,4.908738521234052,0.29864765163187973,6.027169442533315,29.585798816568047,0.591715976331361,295.85798816568047
100,0.5,65.0,26.5,1.0,5.0,1.8,27.77777777777778,33.18307240354219,1.6742137340370318,9.817477042468104,0.29864765163187973,6.027169442533315,59.171597633136095,0.591715976331361,295.85798816568047
100,0.5,65.0,26.5,2.0,5.0,1.8,27.77777777777778,33.18307240354219,1.6742137340370318,19.634954084936208,0.29864765163187973,6.027169442533315,118.34319526627219,0.591715976331361,295.85798816568047
40,0.6,65.0,26.5,0.5,5.0,1.8,11.11111111111111,33.18307240354219,0.5580712446790106,5.890486225480862,0.8959429548956391,2.009056480844438,11.834319526627219,0.19723865877712032,118.34319526627219
40,0.6,65.0,26.5,1.0,5.0,1.8,11.11111111111111,33.18307240354219,0.5580712446790106,11.780972450961723,0.8959429548956391,2.009056480844438,23.668639053254438,0.19723865877712032,118.34319526627219
40,0.6,65.0,26.5,2.0,5.0,1.8,11.11111111111111,33.18307240354219,0.5580712446790106,23.561944901923447,0.8959429548956391,2.009056480844438,47.337278106508876,0.19723865877712032,118.34319526627219
70,0.6,65.0,26.5,0.5,5.0,1.8,19.444444444444443,33.18307240354219,0.9766246781882685,5.890486225480862,0.5119674027975081,3.515848841477767,20.71005917159763,0.34516765285996054,207.1005917159763
70,0.6,65.0,26.5,1.0,5.0,1.8,19.444444444444443,33.18307240354219,0.9766246781882685,11.780972450961723,0.5119674027975081,3.515848841477767,41.42011834319526,0.34516765285996054,207.1005917159763
70,0.6,65.0,26.5,2.0,5.0,1.8,19.444444444444443,33.18307240354219,0.9766246781882685,23.561944901923447,0.5119674027975081,3.515848841477767,82.84023668639053,0.34516765285996054,207.1005917159763
100,0.6,65.0,26.5,0.5,5.0,1.8,27.77777777777778,33.18307240354219,1.3951781116975266,5.890486225480862,0.35837718195825563,5.022641202111096,29.58579881656805,0.4930966469428008,295.85798816568047
100,0.6,65.0,26.5,1.0,5.0,1.8,27.77777777777778,33.18307240354219,1.3951781116975266,11.780972450961723,0.35837718195825563,5.022641202111096,59.1715976331361,0.4930966469428008,295.85798816568047
100,0.6,65.0,26.5,2.0,5.0,1.8,27.77777777777778,33.18307240354219,1.3951781116975266,23.561944901923447,0.35837718195825563,5.022641202111096,118.3431952662722,0.4930966469428008,295.85798816568047
