throughput_kg_h,density_g_cm3,superficial_velocity_cm_s,passed_mass_mg
40,0.4,0.8371068670185159,118.3431952662722
45,0.4,0.9417452253958304,133.13609467455623
50,0.4,1.046383583773145,147.92899408284026
55,0.4,1.1510219421504595,162.72189349112432
60,0.4,1.255660300527774,177.5147928994083
65,0.4,1.3602986589050885,192.30769230769232
70,0.4,1.4649370172824028,207.10059171597632
75,0.4,1.5695753756597173,221.89349112426038
80,0.4,1.6742137340370318,236.6863905325444
85,0.4,1.7788520924143463,251.4792899408284
90,0.4,1.8834904507916608,266.27218934911247
95,0.4,1.9881288091689753,281.0650887573965
100,0.4,2.09276716754629,295.8579881656805
40,0.5,0.6696854936148127,118.34319526627219
45,0.5,0.7533961803166643,133.13609467455623
50,0.5,0.8371068670185159,147.92899408284023
55,0.5,0.9208175537203676,162.72189349112426
60,0.5,1.004528240422219,177.5147928994083
65,0.5,1.0882389271240707,192.3076923076923
70,0.5,1.1719496138259222,207.1005917159763
75,0.5,1.2556603005277738,221.89349112426035
80,0.5,1.3393709872296253,236.68639053254438
85,0.5,1.423081673931477,251.4792899408284
90,0.5,1.5067923606333287,266.27218934911247
95,0.5,1.5905030473351802,281.06508875739644
100,0.5,1.6742137340370318,295.85798816568047
40,0.6,0.5580712446790106,118.34319526627219
45,0.6,0.6278301502638869,133.1360946745562
50,0.6,0.6975890558487633,147.92899408284023
55,0.6,0.7673479614336396,162.72189349112426
60,0.6,0.837106867018516,177.51479289940826
65,0.6,0.9068657726033923,192.30769230769232
70,0.6,0.9766246781882685,207.1005917159763
75,0.6,1.0463835837731448,221.89349112426035
80,0.6,1.1161424893580212,236.68639053254438
85,0.6,1.1859013949428976,251.4792899408284
90,0.6,1.2556603005277738,266.2721893491124
95,0.6,1.3254192061126502,281.06508875739644
100,0.6,1.3951781116975266,295.85798816568047
