throughput_kg_h,density_g_cm3,penetration_depth_mm,superficial_velocity_cm_s,optical_mass_per_refresh_mg,n_refresh,effective_sample_mass_proxy_mg,convective_reference_mass_proxy_mg
40,0.4,0.5,0.8371068670185159,3.926990816987242,3.0135847212666573,11.83431952662722,118.3431952662722
40,0.4,1.0,0.8371068670185159,7.853981633974484,3.0135847212666573,23.66863905325444,118.3431952662722
40,0.4,2.0,0.8371068670185159,15.707963267948967,3.0135847212666573,47.33727810650888,118.3431952662722
70,0.4,0.5,1.4649370172824028,3.926990816987242,5.2737732622166495,20.71005917159763,207.10059171597632
70,0.4,1.0,1.4649370172824028,7.853981633974484,5.2737732622166495,41.42011834319526,207.10059171597632
70,0.4,2.0,1.4649370172824028,15.707963267948967,5.2737732622166495,82.84023668639053,207.10059171597632
100,0.4,0.5,2.09276716754629,3.926990816987242,7.533961803166644,29.58579881656805,295.8579881656805
100,0.4,1.0,2.09276716754629,7.853981633974484,7.533961803166644,59.1715976331361,295.8579881656805
100,0.4,2.0,2.09276716754629,15.707963267948967,7.533961803166644,118.3431952662722,295.8579881656805
40,0.5,0.5,0.6696854936148127,4.908738521234052,2.4108677770133253,11.834319526627217,118.34319526627219
40,0.5,1.0,0.6696854936148127,9.817477042468104,2.4108677770133253,23.668639053254434,118.34319526627219
40,0.5,2.0,0.6696854936148127,19.634954084936208,2.4108677770133253,47.33727810650887,118.34319526627219
70,0.5,0.5,1.1719496138259222,4.908738521234052,4.21901860977332,20.71005917159763,207.1005917159763
70,0.5,1.0,1.1719496138259222,9.817477042468104,4.21901860977332,41.42011834319526,207.1005917159763
70,0.5,2.0,1.1719496138259222,19.634954084936208,4.21901860977332,82.84023668639053,207.1005917159763
100,0.5,0.5,1.6742137340370318,4.908738521234052,6.027169442533315,29.585798816568047,295.85798816568047
100,0.5,1.0,1.6742137340370318,9.817477042468104,6.027169442533315,59.171597633136095,295.85798816568047
100,0.5,2.0,1.6742137340370318,19.634954084936208,6.027169442533315,118.34319526627219,295.85798816568047
40,0.6,0.5,0.5580712446790106,5.890486225480862,2.009056480844438,11.834319526627219,118.34319526627219
40,0.6,1.0,0.5580712446790106,11.780972450961723,2.009056480844438,23.668639053254438,118.34319526627219
40,0.6,2.0,0.5580712446790106,23.561944901923447,2.009056480844438,47.337278106508876,118.34319526627219
70,0.6,0.5,0.9766246781882685,5.890486225480862,3.515848841477767,20.71005917159763,207.1005917159763
70,0.6,1.0,0.9766246781882685,11.780972450961723,3.515848841477767,41.42011834319526,207.1005917159763
70,0.6,2.0,0.9766246781882685,23.561944901923447,3.515848841477767,82.84023668639053,207.1005917159763
100,0.6,0.5,1.3951781116975266,5.890486225480862,5.022641202111096,29.58579881656805,295.85798816568047
100,0.6,1.0,1.3951781116975266,11.780972450961723,5.022641202111096,59.1715976331361,295.85798816568047
100,0.6,2.0,1.3951781116975266,23.561944901923447,5.022641202111096,118.3431952662722,295.85798816568047
