apparent_holdup_fraction,penetration_depth_mm,ess_proxy_mg
1.0,0.1,5.62130177514793
1.0,0.2,11.24260355029586
1.0,0.3,16.86390532544379
1.0,0.4,22.48520710059172
1.0,0.5,28.10650887573965
1.0,0.6,33.72781065088758
1.0,0.7,39.349112426035504
1.0,0.8,44.97041420118344
1.0,0.9,50.591715976331365
1.0,1.0,56.2130177514793
1.0,1.1,61.834319526627226
1.0,1.2,67.45562130177515
1.0,1.3,73.07692307692308
1.0,1.4,78.69822485207101
1.0,1.5,84.31952662721893
1.0,1.6,89.94082840236688
1.0,1.7,95.56213017751479
1.0,1.8,101.18343195266273
1.0,1.9,106.80473372781066
1.0,2.0,112.4260355029586
0.3,0.1,18.73767258382643
0.3,0.2,37.47534516765286
0.3,0.3,56.21301775147929
0.3,0.4,74.95069033530572
0.3,0.5,93.68836291913216
0.3,0.6,112.42603550295858
0.3,0.7,131.16370808678502
0.3,0.8,149.90138067061145
0.3,0.9,168.63905325443787
0.3,1.0,187.37672583826432
0.3,1.1,206.11439842209072
0.3,1.2,224.85207100591717
0.3,1.3,243.5897435897436
0.3,1.4,262.32741617357004
0.3,1.5,281.06508875739644
0.3,1.6,299.8027613412229
0.3,1.7,318.5404339250493
0.3,1.8,337.27810650887574
0.3,1.9,356.01577909270213
0.3,2.0,374.75345167652864
0.1,0.1,56.21301775147929
0.1,0.2,112.42603550295858
0.1,0.3,168.63905325443787
0.1,0.4,224.85207100591717
0.1,0.5,281.06508875739644
0.1,0.6,337.27810650887574
0.1,0.7,393.491124260355
0.1,0.8,449.70414201183434
0.1,0.9,505.91715976331363
0.1,1.0,562.1301775147929
0.1,1.1,618.3431952662722
0.1,1.2,674.5562130177515
0.1,1.3,730.7692307692307
0.1,1.4,786.98224852071
0.1,1.5,843.1952662721892
0.1,1.6,899.4082840236687
0.1,1.7,955.6213017751478
0.1,1.8,1011.8343195266273
0.1,1.9,1068.0473372781066
0.1,2.0,1124.2603550295858
